"x_blur","y_blur","fitness"
0,0,0.767717
1,0,0.80315
2,0,0.830709
3,0,0.811024
4,0,0.822835
5,0,0.846457
6,0,0.858268
7,0,0.877953
8,0,0.850394
9,0,0.854331
10,0,0.866142
11,0,0.862205
12,0,0.850394
13,0,0.838583
14,0,0.870079
15,0,0.874016
16,0,0.88189
17,0,0.862205
18,0,0.850394
19,0,0.88189
20,0,0.897638
21,0,0.874016
22,0,0.88189
23,0,0.897638
24,0,0.893701
25,0,0.893701
26,0,0.901575
27,0,0.897638
28,0,0.92126
29,0,0.889764
30,0,0.870079
31,0,0.893701
32,0,0.897638
33,0,0.885827
34,0,0.874016
35,0,0.874016
36,0,0.889764
37,0,0.913386
38,0,0.901575
39,0,0.909449
40,0,0.913386
41,0,0.885827
42,0,0.905512
43,0,0.913386
44,0,0.893701
45,0,0.88189
0,1,0.818898
1,1,0.893701
2,1,0.893701
3,1,0.877953
4,1,0.874016
5,1,0.909449
6,1,0.913386
7,1,0.925197
8,1,0.917323
9,1,0.909449
10,1,0.913386
11,1,0.885827
12,1,0.933071
13,1,0.92126
14,1,0.913386
15,1,0.901575
16,1,0.92126
17,1,0.917323
18,1,0.889764
19,1,0.901575
20,1,0.92126
21,1,0.925197
22,1,0.933071
23,1,0.929134
24,1,0.933071
25,1,0.901575
26,1,0.877953
27,1,0.909449
28,1,0.917323
29,1,0.92126
30,1,0.940945
31,1,0.933071
32,1,0.913386
33,1,0.929134
34,1,0.92126
35,1,0.92126
36,1,0.917323
37,1,0.92126
38,1,0.925197
39,1,0.897638
40,1,0.917323
41,1,0.917323
42,1,0.929134
43,1,0.893701
44,1,0.933071
45,1,0.913386
0,2,0.88189
1,2,0.897638
2,2,0.893701
3,2,0.905512
4,2,0.933071
5,2,0.909449
6,2,0.925197
7,2,0.917323
8,2,0.92126
9,2,0.917323
10,2,0.901575
11,2,0.909449
12,2,0.905512
13,2,0.925197
14,2,0.913386
15,2,0.925197
16,2,0.917323
17,2,0.897638
18,2,0.952756
19,2,0.929134
20,2,0.933071
21,2,0.909449
22,2,0.933071
23,2,0.940945
24,2,0.929134
25,2,0.937008
26,2,0.940945
27,2,0.92126
28,2,0.925197
29,2,0.929134
30,2,0.940945
31,2,0.933071
32,2,0.929134
33,2,0.937008
34,2,0.940945
35,2,0.933071
36,2,0.929134
37,2,0.940945
38,2,0.925197
39,2,0.937008
40,2,0.944882
41,2,0.952756
42,2,0.929134
43,2,0.925197
44,2,0.929134
45,2,0.913386
0,3,0.893701
1,3,0.925197
2,3,0.913386
3,3,0.92126
4,3,0.925197
5,3,0.933071
6,3,0.917323
7,3,0.933071
8,3,0.925197
9,3,0.909449
10,3,0.929134
11,3,0.92126
12,3,0.933071
13,3,0.944882
14,3,0.944882
15,3,0.937008
16,3,0.925197
17,3,0.937008
18,3,0.937008
19,3,0.933071
20,3,0.925197
21,3,0.933071
22,3,0.925197
23,3,0.929134
24,3,0.937008
