"x_blur","y_blur","fitness"
3,6,0.933071
4,6,0.96063
5,6,0.952756
6,6,0.944882
7,6,0.944882
8,6,0.937008
9,6,0.956693
10,6,0.944882
11,6,0.940945
12,6,0.933071
13,6,0.956693
14,6,0.956693
15,6,0.948819
16,6,0.944882
17,6,0.956693
18,6,0.944882
19,6,0.937008
20,6,0.944882
21,6,0.937008
22,6,0.952756
23,6,0.96063
24,6,0.968504
25,6,0.952756
26,6,0.952756
27,6,0.956693
28,6,0.944882
29,6,0.929134
30,6,0.956693
31,6,0.933071
32,6,0.948819
33,6,0.964567
34,6,0.933071
35,6,0.937008
36,6,0.948819
37,6,0.96063
38,6,0.944882
39,6,0.964567
40,6,0.933071
41,6,0.944882
42,6,0.944882
43,6,0.940945
44,6,0.937008
45,6,0.925197
46,6,0.937008
47,6,0.956693
48,6,0.944882
49,6,0.937008
50,6,0.944882
0,7,0.952756
1,7,0.956693
2,7,0.956693
3,7,0.933071
4,7,0.952756
5,7,0.956693
6,7,0.937008
7,7,0.944882
8,7,0.952756
9,7,0.948819
10,7,0.933071
11,7,0.937008
12,7,0.948819
13,7,0.96063
14,7,0.948819
15,7,0.940945
16,7,0.948819
17,7,0.937008
18,7,0.940945
19,7,0.956693
20,7,0.948819
21,7,0.952756
22,7,0.948819
23,7,0.948819
24,7,0.956693
25,7,0.968504
26,7,0.952756
27,7,0.940945
28,7,0.964567
29,7,0.948819
30,7,0.956693
31,7,0.944882
32,7,0.933071
33,7,0.948819
34,7,0.968504
35,7,0.940945
36,7,0.944882
37,7,0.940945
38,7,0.964567
39,7,0.944882
40,7,0.948819
41,7,0.944882
42,7,0.940945
43,7,0.937008
44,7,0.944882
45,7,0.952756
46,7,0.937008
47,7,0.948819
48,7,0.948819
49,7,0.952756
50,7,0.940945
0,8,0.944882
1,8,0.956693
2,8,0.940945
3,8,0.944882
4,8,0.948819
5,8,0.944882
6,8,0.944882
7,8,0.968504
8,8,0.952756
9,8,0.937008
10,8,0.944882
11,8,0.940945
12,8,0.940945
13,8,0.948819
14,8,0.948819
